吕帆午,汉族,20020608,2019,河南,数学与应用数学
熊铭雨,汉族,19970305,2017,青海,数学与应用数学
李家,汉族,20010508,2019,辽宁,英语
王轩辉,汉族,19990605,2017,四川,勘查技术与工程
荔嘉,汉族,19990330,2017,陕西,化工类
杨晖俨,汉族,19960826,2017,四川,英语
景派龙,回族,20001105,2019,河北,勘查技术与工程
蔡洁,满族,19990302,2017,新疆,石油工程
延燃,汉族,19980307,2016,天津,环境工程
杨博仁,汉族,20011105,2019,内蒙古,资源勘查工程
曹鹏琦,汉族,19981008,2016,广东,材料科学与工程
何汶辉,满族,19960523,2016,宁夏,安全工程
王里志,汉族,19990210,2018,山东,自动化类
董雯儒,汉族,20001220,2019,河北,石油工程
王羿朝,汉族,19980727,2016,河南,自动化类
李甫,汉族,19990512,2017,山西,环境科学
杨世芳,哈萨克族,19980310,2016,陕西,勘查技术与工程
孙嘉龙,汉族,19970324,2017,江苏,勘查技术与工程
马晨乾,汉族,19990216,2017,广东,勘查技术与工程
徐昌,汉族,19980323,2016,天津,环境工程
郭旭源,汉族,20020404,2019,青海,机械类
李青健,汉族,19990525,2018,江苏,海洋油气工程
刘梦龙,汉族,19991208,2018,甘肃,计算机科学与技术
王丛慧,汉族,20041026,2019,河南,过程装备与控制工程
王嫣博,汉族,19990218,2016,山东,化工类
郭玉珩,回族,20000102,2018,湖北,海洋油气工程
刘梦晨,汉族,19970408,2016,江苏,资源勘查工程
吴文磊,汉族,19971005,2016,辽宁,经济学类
白琦剑,汉族,19980429,2016,北京,化工类
张重鑫,汉族,20000912,2019,河北,环境科学
杨虹珍,汉族,19991229,2019,四川,环境工程
李紧姣,汉族,20010114,2019,河南,安全工程
杜雨晨,汉族,20010609,2019,河北,海洋油气工程
张文敬,汉族,19990223,2018,辽宁,材料科学与工程
刘鹏丛,汉族,20000731,2018,浙江,石油工程
周涵昊,汉族,19990613,2017,安徽,石油工程
权梦龙,汉族,19990619,2017,安徽,英语
鲁芳晓,汉族,19990208,2016,河北,自动化类
张龙,汉族,20010220,2019,河南,英语
黄羽,汉族,19990912,2017,辽宁,过程装备与控制工程
马龙,汉族,19990102,2017,广东,应用化学
曹雅尹,汉族,20000730,2017,河南,环境科学
孟玉,汉族,19980115,2016,四川,材料科学与工程
董达超,汉族,20000411,2019,四川,油气储运工程
邵麒泽,汉族,19990613,2017,宁夏,油气储运工程
申霞,满族,20010219,2018,河南,英语
赵宇,汉族,19990927,2017,安徽,材料科学与工程
丁浩,汉族,20010928,2019,河北,资源勘查工程
陈宇,汉族,19990202,2016,河北,勘查技术与工程
